
mode,par,maxprocs,maxq,dur,interval,ops,drops,thru,dthr,wall,exec,util,upar,min,p05,p25,p50,p75,p90,p95,p99,max,jitter
espresso,5,5,0,4s,0s,4058,0,1013,0,4.004260618s,8.076s,202%,40%,1.938,4.854,4.856,4.860,4.904,5.180,5.185,5.304,8.773,0s
linearpipe-0,5,5,0,4s,0s,3876,0,968,0,4.004481365s,15.176s,379%,76%,3.943,5.052,5.099,5.143,5.179,5.223,5.232,5.563,9.990,0s
linearpipe-1,5,5,0,4s,0s,4121,0,1029,0,4.004838517s,16.08s,402%,80%,4.095,4.818,4.840,4.849,4.864,4.879,4.891,4.958,7.985,0s
linearpipe-10,5,5,0,4s,0s,4095,0,1023,0,4.004053175s,16.012s,400%,80%,3.876,4.819,4.842,4.852,4.872,4.893,4.916,6.145,8.544,0s
splitpipe-0,5,5,0,4s,0s,3687,0,921,0,4.004594541s,14.472s,361%,72%,2.931,4.982,4.997,5.058,5.103,6.902,7.793,8.626,13.201,0s
splitpipe-1,5,5,0,4s,0s,4109,0,1026,0,4.004487627s,16.08s,402%,80%,3.041,4.813,4.845,4.855,4.872,4.896,4.955,5.450,7.492,0s
americanopipe-0,5,5,0,4s,0s,3956,0,988,0,4.004542188s,11.692s,292%,58%,2.927,4.996,5.006,5.054,5.086,5.104,5.131,5.268,6.992,0s
americanopipe-1,5,5,0,4s,0s,4115,0,1028,0,4.004489897s,12.248s,306%,61%,3.040,4.821,4.841,4.850,4.862,4.880,4.898,5.031,8.299,0s
espressopipe-0,5,5,0,4s,0s,3976,0,993,0,4.004936121s,7.908s,197%,39%,1.978,4.988,4.995,5.044,5.065,5.076,5.088,5.143,5.979,0s
espressopipe-1,5,5,0,4s,0s,4124,0,1030,0,4.004097137s,8.292s,207%,41%,2.125,4.822,4.844,4.848,4.855,4.869,4.879,4.928,5.990,0s
multi-1,5,5,0,4s,0s,3855,0,963,0,4.004492623s,15.1s,377%,75%,3.886,5.141,5.153,5.164,5.175,5.190,5.217,6.029,8.099,0s
multi-2,5,5,0,4s,0s,5006,0,1250,0,4.004398622s,19.592s,489%,98%,3.870,3.872,3.874,3.877,3.880,3.898,4.061,6.505,14.716,0s
multi-4,5,5,0,4s,0s,5109,0,1276,0,4.003230796s,19.868s,496%,99%,3.869,3.872,3.874,3.876,3.880,3.889,3.905,4.015,6.483,0s
multipipe-1,5,5,0,4s,0s,4117,0,1028,0,4.004806851s,16.12s,403%,81%,4.078,4.822,4.843,4.850,4.858,4.874,4.887,5.023,8.361,0s
multipipe-2,5,5,0,4s,0s,4996,0,1248,0,4.003384535s,19.576s,489%,98%,3.871,3.873,3.875,3.876,3.883,4.009,4.639,6.004,19.878,0s
multipipe-4,5,5,0,4s,0s,5124,0,1280,0,4.00427656s,19.996s,499%,100%,3.871,3.873,3.874,3.875,3.880,3.889,3.908,4.607,7.076,0s
mode,par,maxprocs,maxq,dur,interval,ops,drops,thru,dthr,wall,exec,util,upar,min,p05,p25,p50,p75,p90,p95,p99,max,jitter
ideal,6,6,0,4s,0s,6058,0,1513,0,4.003022081s,23.632s,590%,98%,3.869,3.872,3.875,3.878,3.887,3.901,3.916,4.060,19.393,0s
locking,6,6,0,4s,0s,1037,0,258,0,4.02306893s,4.052s,101%,17%,3.874,23.255,23.260,23.269,23.282,23.298,23.319,23.419,27.136,0s
finelocking,6,6,0,4s,0s,3853,0,962,0,4.005845991s,15.072s,376%,63%,3.879,6.172,6.183,6.198,6.214,6.242,6.297,7.175,10.864,0s
parsteam,6,6,0,4s,0s,3832,0,957,0,4.005750297s,15.12s,377%,63%,2.912,6.176,6.203,6.226,6.250,6.290,6.561,7.797,9.652,0s
americano,6,6,0,4s,0s,3874,0,967,0,4.006135764s,11.376s,284%,47%,2.923,6.168,6.175,6.182,6.198,6.218,6.236,6.500,9.429,0s
espresso,6,6,0,4s,0s,4040,0,1009,0,4.005099813s,8.056s,201%,34%,1.947,5.825,5.827,5.832,6.205,6.221,6.228,6.270,7.053,0s
linearpipe-0,6,6,0,4s,0s,3895,0,972,0,4.007019256s,15.332s,383%,64%,3.930,6.072,6.122,6.158,6.199,6.217,6.240,6.394,8.968,0s
linearpipe-1,6,6,0,4s,0s,4113,0,1027,0,4.00580638s,16.16s,403%,67%,4.112,5.796,5.816,5.828,5.844,5.863,5.879,5.977,9.305,0s
linearpipe-10,6,6,0,4s,0s,4025,0,1005,0,4.005181564s,15.88s,396%,66%,4.151,5.794,5.817,5.833,5.853,5.881,5.945,10.264,14.044,0s
splitpipe-0,6,6,0,4s,0s,3883,0,969,0,4.005214036s,15.252s,381%,63%,2.944,5.994,6.042,6.056,6.091,6.165,6.992,10.036,10.280,0s
splitpipe-1,6,6,0,4s,0s,4115,0,1027,0,4.00524735s,16.216s,405%,67%,3.050,5.781,5.813,5.822,5.837,5.867,5.911,6.248,7.876,0s
americanopipe-0,6,6,0,4s,0s,3957,0,988,0,4.005895874s,11.74s,293%,49%,2.963,6.030,6.051,6.060,6.075,6.106,6.117,6.294,7.985,0s
americanopipe-1,6,6,0,4s,0s,4117,0,1028,0,4.005536235s,12.272s,306%,51%,3.041,5.789,5.812,5.821,5.833,5.853,5.877,6.034,9.917,0s
espressopipe-0,6,6,0,4s,0s,3970,0,991,0,4.005278898s,7.904s,197%,33%,1.972,6.022,6.034,6.041,6.051,6.072,6.092,6.162,9.136,0s
espressopipe-1,6,6,0,4s,0s,4116,0,1028,0,4.005020007s,8.212s,205%,34%,2.083,5.756,5.811,5.822,5.842,5.882,5.920,6.121,9.280,0s
multi-1,6,6,0,4s,0s,3866,0,965,0,4.005527967s,15.14s,378%,63%,3.887,6.171,6.187,6.198,6.211,6.227,6.251,6.594,9.100,0s
multi-2,6,6,0,4s,0s,6131,0,1531,0,4.005195361s,23.84s,595%,99%,3.870,3.873,3.876,3.880,3.887,3.901,3.921,4.007,6.077,0s
multi-4,6,6,0,4s,0s,6062,0,1514,0,4.004168605s,23.728s,593%,99%,3.870,3.873,3.876,3.880,3.887,3.902,3.925,4.929,11.059,0s
multipipe-1,6,6,0,4s,0s,4036,0,1008,0,4.005008372s,15.968s,399%,66%,4.097,5.784,5.813,5.827,5.846,5.895,6.040,9.902,13.477,0s
multipipe-2,6,6,0,4s,0s,6136,0,1532,0,4.004182047s,23.868s,596%,99%,3.871,3.874,3.876,3.882,3.894,4.006,4.055,4.156,7.337,0s
multipipe-4,6,6,0,4s,0s,5970,0,1491,0,4.004567778s,23.776s,594%,99%,3.871,3.874,3.876,3.882,3.893,3.952,4.617,6.713,19.918,0s
